location,average_cost,minimum_order,rating,votes,delivery_time,is_rating,is_votes,average_cost_cat,minimum_order_less_50,rating_cat,fast,medium,slow,is_bakery_nf_,city_nf_,rating_votes
"FTI College, Law College Road, Pune",200.0,50.0,3.5,12.0,30 minutes,1,1,0,0,3_to_3.9,5,0,0,0,Pune,3.7376696182833684
"Sector 3, Marathalli",100.0,50.0,3.5,11.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Bengaluru,3.6506582412937387
Mumbai Central,150.0,50.0,3.6,99.0,65 minutes,1,1,0,0,3_to_3.9,2,0,1,0,Mumbai,5.876053695596655
"Sector 1, Noida",250.0,99.0,3.7,176.0,30 minutes,1,1,1,1,3_to_3.9,0,2,1,0,Noida,6.47881681468833
"Rmz Centennial, I Gate, Whitefield",200.0,99.0,3.2,521.0,65 minutes,1,1,0,1,3_to_3.9,2,0,0,0,Bengaluru,7.418900851559048
"Rmz Centennial, I Gate, Whitefield",150.0,50.0,3.8,46.0,30 minutes,1,1,0,0,3_to_3.9,0,3,0,0,Bengaluru,5.163642463221435
Mumbai Central,150.0,50.0,3.7,108.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Mumbai,5.990464046774399
Delhi University-GTB Nagar,650.0,50.0,4.0,1731.0,45 minutes,1,1,1,0,greater_equal_4,0,1,2,0,Delhi,8.8427489162961
Delhi University-GTB Nagar,100.0,50.0,3.9,110.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Delhi,6.061456918928017
"Sector 1, Noida",200.0,50.0,3.9,562.0,65 minutes,1,1,0,0,3_to_3.9,3,2,1,0,Noida,7.692478403029292
Mumbai Central,350.0,50.0,3.8,186.0,30 minutes,1,1,1,0,3_to_3.9,0,2,1,0,Mumbai,6.560747740445541
"Yerawada, Pune, Maharashtra",800.0,50.0,4.2,1693.0,45 minutes,1,1,1,0,greater_equal_4,0,1,3,0,Pune,8.869341907422458
"Sector 1, Noida",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,4,0,0,0,Noida,0.0
Delhi University-GTB Nagar,50.0,0.0,3.8,184.0,45 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,6.549936824341326
"Delhi Administration Flats, Timarpur",100.0,50.0,3.5,23.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,4.388257184424518
"Moulali, Kolkata",100.0,50.0,3.6,353.0,30 minutes,1,1,0,0,3_to_3.9,0,1,1,0,Kolkata,7.147401902395361
"Sector 1, Noida",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,0,1,0,Noida,0.0
"Dockyard Road, Mumbai CST Area",200.0,50.0,3.7,139.0,30 minutes,1,1,0,0,3_to_3.9,1,3,0,0,Mumbai,6.24280675278087
Pune University,150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,2,0,0,Pune,0.0
"Gora Bazar, Rajbari, North Dumdum, Kolkata",100.0,50.0,3.7,159.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Kolkata,6.37723702187041
"D-Block, Sector 63, Noida",200.0,99.0,2.8,67.0,45 minutes,1,1,0,1,less_3,2,2,0,0,Noida,5.234312036572124
"Sector 14, Noida",150.0,50.0,3.9,387.0,45 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Noida,7.319401246165382
